date,nut,cases_confirmed,deaths,recuperados_arsnorte,recuperados_arscentro,recuperados_arslvt,recuperados_arsalentejo,recuperados_arsalgarve,recuperados_acores,recuperados_madeira,confirmados_desconhecidos_m,confirmados_desconhecidos_f
01-03-2020,acores,0,0,,,,,,,,,
02-03-2020,acores,0,0,,,,,,,,,
03-03-2020,acores,0,0,,,,,,,,,
04-03-2020,acores,0,0,,,,,,,,,
05-03-2020,acores,0,0,,,,,,,,,
06-03-2020,acores,0,0,,,,,,,,,
07-03-2020,acores,0,0,,,,,,,,,
08-03-2020,acores,0,0,,,,,,,,,
09-03-2020,acores,0,0,,,,,,,,,
10-03-2020,acores,0,0,,,,,,,,,
11-03-2020,acores,0,0,,,,,,,,,
12-03-2020,acores,0,0,,,,,,,,,
13-03-2020,acores,0,0,,,,,,,,,
14-03-2020,acores,0,0,,,,,,,,,
15-03-2020,acores,1,0,,,,,,,,,
16-03-2020,acores,1,0,,,,,,,,,
17-03-2020,acores,1,0,,,,,,,,,
18-03-2020,acores,3,0,,,,,,,,,
19-03-2020,acores,3,0,,,,,,,,,
20-03-2020,acores,3,0,,,,,,,,,
21-03-2020,acores,3,0,,,,,,,,,
22-03-2020,acores,4,0,,,,,,,,,
23-03-2020,acores,11,0,3,7,4,0,0,0,0,,
24-03-2020,acores,12,0,3,8,11,0,0,0,0,,
25-03-2020,acores,17,0,3,8,11,0,0,0,0,,
26-03-2020,acores,24,0,3,8,11,0,0,0,0,,
27-03-2020,acores,24,0,16,10,17,0,0,0,0,,
28-03-2020,acores,30,0,16,10,17,0,0,0,0,,
29-03-2020,acores,33,0,16,10,17,0,0,0,0,,
30-03-2020,acores,41,0,16,10,17,0,0,0,0,,
31-03-2020,acores,48,0,16,10,17,0,0,0,0,,
01-04-2020,acores,52,0,16,10,17,0,0,0,0,,
02-04-2020,acores,57,0,,,,,,,,,
03-04-2020,acores,63,0,,,,,,,,,
04-04-2020,acores,63,0,,,,,,,,,
05-04-2020,acores,67,0,,,,,,,,,
06-04-2020,acores,68,0,,,,,,,,,
07-04-2020,acores,68,0,,,,,,,,,
08-04-2020,acores,70,0,,,,,,,,,
09-04-2020,acores,91,1,,,,,,,,,
10-04-2020,acores,94,2,,,,,,,,,
11-04-2020,acores,94,3,,,,,,,,,
12-04-2020,acores,94,4,,,,,,,,,
13-04-2020,acores,94,4,,,,,,,,,
14-04-2020,acores,100,4,,,,,,,,,
15-04-2020,acores,100,4,,,,,,,,,
16-04-2020,acores,102,4,,,,,,,,,
17-04-2020,acores,102,4,,,,,,,,,
18-04-2020,acores,104,4,,,,,,,,,
19-04-2020,acores,106,5,,,,,,,,,
20-04-2020,acores,107,6,,,,,,,,,
21-04-2020,acores,107,6,,,,,,,,,
22-04-2020,acores,109,6,,,,,,,,,
23-04-2020,acores,109,8,,,,,,,,,
24-04-2020,acores,109,8,,,,,,,,,
25-04-2020,acores,111,8,,,,,,,,,
26-04-2020,acores,120,8,,,,,,,,,
27-04-2020,acores,120,9,,,,,,,,,
28-04-2020,acores,121,10,,,,,,,,,
29-04-2020,acores,125,12,,,,,,,,,
30-04-2020,acores,127,12,,,,,,,,,
01-05-2020,acores,127,12,,,,,,,,,
02-05-2020,acores,131,13,,,,,,,,,
03-05-2020,acores,132,13,,,,,,,,,
