date,sex,sex_nr,sex_label,age_gr,age_gr_nr,age_gr_label,cases_confirmed,deaths,confirmados_desconhecidos_m,confirmados_desconhecidos_f,cases_confirmed_new,deaths_new
06-05-2020,Females,0,Females,00-09,1,00-09,2,0,,,2,0
09-03-2020,Females,0,Females,00-09,1,00-09,2,0,,,0,
14-04-2020,Females,0,Females,00-09,1,00-09,2,0,,,0,0
03-05-2020,Females,0,Females,00-09,1,00-09,2,0,,,0,0
01-06-2020,Females,0,Females,00-09,1,00-09,12,0,,,10,0
13-05-2020,Females,0,Females,00-09,1,00-09,15,0,,,3,0
01-04-2020,Females,0,Females,00-09,1,00-09,20,0,,,5,0
05-03-2020,Females,0,Females,00-09,1,00-09,20,0,,,0,
13-04-2020,Females,0,Females,00-09,1,00-09,20,0,,,0,0
14-03-2020,Females,0,Females,00-09,1,00-09,20,0,,,0,
30-03-2020,Females,0,Females,00-09,1,00-09,21,0,,,1,0
24-03-2020,Females,0,Females,00-09,1,00-09,21,0,,,0,
03-04-2020,Females,0,Females,00-09,1,00-09,23,0,,,2,0
05-05-2020,Females,0,Females,00-09,1,00-09,27,0,,,4,0
04-06-2020,Females,0,Females,00-09,1,00-09,32,0,0,0,5,0
04-03-2020,Females,0,Females,00-09,1,00-09,32,0,,,0,
24-05-2020,Females,0,Females,00-09,1,00-09,37,0,,,5,0
07-03-2020,Females,0,Females,00-09,1,00-09,37,0,,,0,
02-05-2020,Females,0,Females,00-09,1,00-09,41,0,,,4,0
12-04-2020,Females,0,Females,00-09,1,00-09,56,0,,,15,0
29-05-2020,Females,0,Females,00-09,1,00-09,62,0,,,6,0
26-03-2020,Females,0,Females,00-09,1,00-09,70,0,,,8,0
22-04-2020,Females,0,Females,00-09,1,00-09,70,0,,,0,0
27-03-2020,Females,0,Females,00-09,1,00-09,71,0,,,1,0
23-04-2020,Females,0,Females,00-09,1,00-09,71,0,,,0,0
28-03-2020,Females,0,Females,00-09,1,00-09,75,0,,,4,0
19-04-2020,Females,0,Females,00-09,1,00-09,85,0,,,10,0
25-04-2020,Females,0,Females,00-09,1,00-09,87,0,,,2,0
23-05-2020,Females,0,Females,00-09,1,00-09,92,0,,,5,0
15-05-2020,Females,0,Females,00-09,1,00-09,95,0,,,3,0
19-03-2020,Females,0,Females,00-09,1,00-09,96,0,,,1,
