date,cases_all,cases_all_pct,cases_all_new,cases_all_new_pct,cases_confirmed,cases_confirmed_pct,cases_confirmed_new,cases_confirmed_new_pct,cases_unconfirmed,cases_unconfirmed_pct,cases_unconfirmed_new,cases_unconfirmed_new_pct,cases_resultpending,cases_resultpending_pct,cases_resultpending_new,cases_resultpending_new_pct,recovered,recovered_pct,recovered_new,recovered_new_pct,deaths,deaths_pct,deaths_new,deaths_new_pct,contacts,contacts_pct,contacts_new,contacts_new_pct,inpatient,inpatient_pct,inpatient_new,inpatient_new_pct,icu,icu_pct,icu_new,icu_new_pct,pop,cov_rate,lethal_rate,mortality_rate
2020-01-31,1,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-01,2,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-02,2,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-03,2,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-04,3,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-05,4,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-06,4,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-07,4,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-08,5,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-09,5,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-10,6,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-11,6,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-12,6,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-13,7,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-14,7,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-15,8,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-16,9,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-17,11,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-18,12,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-19,12,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-20,12,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-21,12,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-22,12,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-23,13,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-24,16,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-25,19,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-26,25,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-27,51,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-28,59,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-02-29,70,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-03-01,85,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,10276617,0,,0
2020-03-02,101,18.82353,16,,4,,4,,,,,,,,,,0,,0,,0,,0,,,,,,4,,4,,0,,0,,10276617,.038923316,0,0
2020-03-03,117,15.841584,16,0,6,50,2,-.5,,,,,,,,,0,,0,,0,,0,,81,,,,6,50,2,-.5,0,,0,,10276617,.058384974,0,0
2020-03-04,147,25.641026,30,.875,9,50,3,.5,,,,,,,,,0,,0,,0,,0,,213,162.96297,132,,9,50,3,.5,0,,0,,10276617,.087577462,0,0
