date,year,month,day,cases_all,cases_confirmed,cases_confirmed_new,cases_active,cases_resultpending,cases_unconfirmed,inpatient,recovered,icu,cases_confirmed_norte,cases_confirmed_centro,cases_confirmed_lvt,cases_confirmed_alentejo,cases_confirmed_algarve,cases_confirmed_acores,cases_confirmed_madeira,deaths,cc_0_1,cc_1_1,cc_0_2,cc_1_2,cc_0_3,cc_1_3,cc_0_4,cc_1_4,cc_0_5,cc_1_5,cc_0_6,cc_1_6,cc_0_7,cc_1_7,cc_0_8,cc_1_8,cc_0_9,cc_1_9,deaths_norte,deaths_centro,deaths_lvt,deaths_alentejo,deaths_algarve,deaths_acores,deaths_madeira,recovered_norte,recovered_centro,recovered_lvt,recovered_alentejo,recovered_algarve,recovered_acores,recovered_madeira,d_0_1,d_1_1,d_0_2,d_1_2,d_0_3,d_1_3,d_0_4,d_1_4,d_0_5,d_1_5,d_0_6,d_1_6,d_0_7,d_1_7,d_0_8,d_1_8,d_0_9,d_1_9,confirmados_desconhecidos_m,confirmados_desconhecidos_f
26/02/2020,2020,2,26,,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/02/2020,2020,2,27,,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/02/2020,2020,2,28,,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/02/2020,2020,2,29,,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2020,2020,3,1,,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/03/2020,2020,3,2,,2,2,2,,,,0,,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/03/2020,2020,3,3,,4,2,4,,,,0,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2020,2020,3,4,,6,2,6,,,,0,,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/03/2020,2020,3,5,,9,3,9,,,9,0,,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/03/2020,2020,3,6,,13,4,13,30,,13,0,,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/03/2020,2020,3,7,,21,8,21,47,,21,0,,15,1,5,0,0,0,0,0,0,0,1,2,0,1,1,2,2,6,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,2020,3,8,,30,9,30,56,,30,0,,22,1,6,0,1,0,0,0,0,0,3,2,1,1,1,3,4,6,0,3,1,3,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,2020,3,9,,39,9,39,67,,38,0,,27,1,9,0,2,0,0,0,0,0,3,3,1,1,2,4,7,7,1,3,1,3,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,2020,3,10,,41,2,41,83,,40,0,,27,2,10,0,2,0,0,0,0,0,3,3,1,1,2,4,7,7,1,3,1,5,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,2020,3,11,,59,18,59,83,,57,0,,36,3,17,0,3,0,0,0,0,1,6,5,1,3,5,4,9,7,1,4,1,5,3,2,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,2020,3,12,,78,19,78,133,,69,0,,44,5,23,0,5,0,0,0,0,1,7,5,1,6,6,8,10,11,1,8,1,6,3,2,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
